country,code,year,trade_openness,gdp_per_capita,population,labour_productivity,schooling,democracy,region,urban_pct,life_expectancy,log_gdp_pc,log_population,log_productivity
Malaysia,MYS,2019,123.028564,31300.508,33440590,27.1924,11.96,0.472,Asia,74.83777,75.9005,10.351389606428487,17.3252809895658,3.302937522494506
Maldives,MDV,2019,137.12523,21855.502,487737,NA,8.06,0.568,Asia,40.04928,79.7071,9.9922079766058,13.097531605131698,NA
Mali,MLI,2019,53.998714,2916.1716,21068405,3.9627812,3.55,0.51,Africa,28.352072,59.2173,7.978026939133715,16.863285082867517,1.3769461019851656
Malta,MLT,2019,233.07043,50801.957,504017,42.67168,12.09,0.771,Europe,94.933205,82.8387,10.835690156446605,13.130365276643387,3.753535468348923
Marshall Islands,MHL,2019,153.00774,6405.0757,44030,NA,NA,NA,NA,76.94227,66.0473,8.764846033152484,10.6926264987498,NA
Mauritania,MRT,2019,93.486694,6162.2104,4467714,NA,5.55,0.404,Africa,56.05962,67.6397,8.726190823331889,15.312387426379392,NA
Mauritius,MUS,2019,127.9409,26047.975,1286269,28.885317,10.4,0.697,Africa,39.25095,74.1811,10.16769530903522,14.067256337644231,3.363333403727276
Mexico,MEX,2019,77.461975,21704.186,125762978,28.918913,10.18,0.685,North America,78.35599,74.5302,9.985260424150923,18.64990956639025,3.364495810138809
Micronesia (country),FSM,2019,95.68528,3940.2644,110293,NA,NA,NA,NA,22.359245,66.1957,8.279003106639417,11.610895739945756,NA
Moldova,MDA,2019,87.63224,14621.24,3112561,21.638363,10.84,0.58,Europe,40.77229,70.181,9.59023054502863,14.950956417956629,3.0744678041668134
Mongolia,MNG,2019,124.396515,15790.696,3232118,NA,10,0.653,Asia,67.82773,70.6631,9.667176184808973,14.988648207857644,NA
Montenegro,MNE,2019,110.01612,23392.812,611671,NA,NA,0.461,Europe,65.16868,76.6392,10.060184074669332,13.323949835246268,NA
Morocco,MAR,2019,75.998116,8768.176,36210907,12.578258,6.83,0.258,Africa,61.843044,74.2446,9.078884081979037,17.404870929757312,2.5319697679160313
Mozambique,MOZ,2019,105.59117,1528.8899,29884378,2.8590019,4.22,0.394,Africa,33.417725,61.3059,7.332297195488106,17.212846426906946,1.0504725779079847
Namibia,NAM,2019,82.90115,10813.305,2650499,15.668636,6.88,0.648,Africa,48.00198,63.5463,9.28853259933586,14.790258482122622,2.751661007269758
Nauru,NRU,2019,155.9067,11183.096,11609,NA,NA,NA,NA,100,61.3931,9.322158631449895,9.359535938338036,NA
Nepal,NPL,2019,49.249527,4607.5244,28414066,NA,6.19,0.601,Asia,65.9874,69.2992,8.435445985243467,17.162394862210082,NA
Netherlands,NLD,2019,160.67667,67847.85,17537505,80.06904,11.82,0.861,Europe,93.8898,82.053,11.125022977214897,16.679852288496164,4.382889262503488
New Caledonia,NCL,2019,58.210365,NA,283616,NA,NA,NA,NA,67.15747,77.2623,NA,12.555376489538125,NA
New Zealand,NZL,2019,54.454296,47362.32,4989410,49.53717,10.81,0.886,Oceania,83.80496,81.8322,10.765582254844576,15.422828224264272,3.90272329687438
Nicaragua,NIC,2019,94.04221,6756.5938,6483660,NA,7.76,0.217,North America,58.540565,73.7637,8.818274166309324,15.684795723695421,NA
Niger,NER,2019,37.102566,1612.6373,22947765,1.8506708,3.04,0.528,Africa,16.813147,60.031,7.385626192331925,16.948731104107626,0.6155481679632945
North Macedonia,MKD,2019,138.57623,20711.266,1897643,22.610058,NA,0.606,Europe,60.628685,76.8346,9.938433082410217,14.456123147731166,3.118394851523209
Northern Mariana Islands,MNP,2019,104.74979,NA,48154,NA,NA,NA,NA,91.61629,77.8437,NA,10.782159487503774,NA
Norway,NOR,2019,70.89582,87725.73,5347733,119.48063,12.08,0.892,Europe,82.49359,82.9553,11.381970521875898,15.492183290751981,4.78315426618302
Oman,OMN,2019,86.4782,38292.387,4591248,27.405403,NA,0.175,Asia,79.578,79.9456,10.553006382564844,15.339662440504702,3.310740183735697
Pakistan,PAK,2019,28.905577,5295.953,230800908,8.802918,6.41,0.367,Asia,37.10916,66.7288,8.574698222955108,19.257066026732595,2.175083257429136
Palau,PLW,2019,115.461975,19519.018,17821,NA,NA,NA,NA,79.28038,68.9816,9.879144551324575,9.7881328161731,NA
Palestine,PSE,2019,68.99349,6269.891,4957773,NA,NA,NA,NA,85.813614,75.8114,8.743514249105841,15.416467205938567,NA
Panama,PAN,2019,80.42865,33163.727,4234698,NA,10.44,0.731,North America,65.75298,78.5145,10.409211997384594,15.258822573017902,NA
Paraguay,PRY,2019,71.22216,15321.324,6515059,17.024054,8.83,0.584,South America,64.98453,73.6681,9.637000862536834,15.689626824524636,2.8346272851466843
Peru,PER,2019,46.943504,15463.543,32449302,12.456921,9.96,0.802,South America,83.1033,76.2749,9.64624046794243,17.29518949086762,2.5222763720679997
Philippines,PHL,2019,68.84184,9452.294,110804685,11.624064,9.44,0.45,Asia,53.715786,69.6804,9.154012742351204,18.523279614777042,2.4530774321027904
Poland,POL,2019,101.58103,38181.62,38225884,45.805286,12.01,0.681,Europe,59.96262,77.9213,10.55010952697152,17.459023435738285,3.82439949930752
Portugal,PRT,2019,86.77099,40188.285,10343218,41.922718,9.56,0.885,Europe,61.114925,81.9587,10.601330814226214,16.15184159719477,3.735827875697168
Puerto Rico,PRI,2019,107.57146,41656.33,3288027,NA,NA,NA,NA,93.95199,81.4383,10.637208616839395,15.005798246803325,NA
Qatar,QAT,2019,90.046295,113160.836,2797927,68.41585,8.52,0.04,Asia,99.11917,82.9454,11.636565413157744,14.844389343802881,4.2256045229305785
Romania,ROU,2019,84.906364,34634.26,19501542,39.57182,11.28,0.748,Europe,52.893185,75.3288,10.452598644557892,16.786004097330636,3.6781172487798535
Russia,RUS,2019,49.228752,37319.32,146533063,33.838017,11.6,0.263,Europe,74.622284,73.0658,10.527266434002138,18.802761646964967,3.521584933730237
Rwanda,RWA,2019,57.975662,2667.4646,12776102,3.8597088,5.24,0.228,Africa,22.971102,66.6905,7.888883712234992,16.36308695256459,1.3505917402164604
Samoa,WSM,2019,83.331085,7033.521,209794,NA,NA,NA,NA,18.414734,70.2695,8.858442712904532,12.25388137586999,NA
San Marino,SMR,2019,307.26477,60171.047,34674,NA,NA,NA,NA,97.1,85.2565,11.00494656876103,10.453745405545833,NA
Saudi Arabia,SAU,2019,56.79382,62647.73,30472809,78.564186,9.86,0.015,Asia,83.639465,78.3132,11.045282726627079,17.23234533575114,4.363915946740716
Senegal,SEN,2019,64.23625,4070.6123,16352926,3.934793,4.4,0.7,Africa,49.944332,67.668,8.31154870938178,16.60991739954071,1.3698582756572215
Serbia,SRB,2019,107.57731,20496.438,6966155,23.732199,11.72,0.363,Europe,61.049225,76.0585,9.928006393931598,15.75657398059364,3.1668327336637856
Seychelles,SYC,2019,173.40785,34346.07,117662,NA,NA,0.614,Africa,44.00493,72.1226,10.444242880624767,11.675571386404187,NA
Sierra Leone,SLE,2019,37.561954,2852.6626,7731994,NA,4.99,0.544,Africa,42.701843,59.5935,7.956008082740915,15.860877343314197,NA
Singapore,SGP,2019,324.395,120114.13,5669562,62.331562,13.06,0.405,Asia,100,83.6622,11.69619765310433,15.550622424042853,4.132467910670404
