country,code,trade_openness,gdp_per_capita,population,urban_pct,democracy,region,log_gdp_pc,log_population
Nauru,NRU,155.9067,11183.096,11609,100,NA,NA,9.322158631449895,9.359535938338036
Nepal,NPL,49.249527,4607.5244,28414066,65.9874,0.601,Asia,8.435445985243467,17.162394862210082
Netherlands,NLD,160.67667,67847.85,17537505,93.8898,0.861,Europe,11.125022977214897,16.679852288496164
New Caledonia,NCL,58.210365,NA,283616,67.15747,NA,NA,NA,12.555376489538125
New Zealand,NZL,54.454296,47362.32,4989410,83.80496,0.886,Oceania,10.765582254844576,15.422828224264272
Nicaragua,NIC,94.04221,6756.5938,6483660,58.540565,0.217,North America,8.818274166309324,15.684795723695421
Niger,NER,37.102566,1612.6373,22947765,16.813147,0.528,Africa,7.385626192331925,16.948731104107626
North Macedonia,MKD,138.57623,20711.266,1897643,60.628685,0.606,Europe,9.938433082410217,14.456123147731166
Northern Mariana Islands,MNP,104.74979,NA,48154,91.61629,NA,NA,NA,10.782159487503774
Norway,NOR,70.89582,87725.73,5347733,82.49359,0.892,Europe,11.381970521875898,15.492183290751981
Oman,OMN,86.4782,38292.387,4591248,79.578,0.175,Asia,10.553006382564844,15.339662440504702
Pakistan,PAK,28.905577,5295.953,230800908,37.10916,0.367,Asia,8.574698222955108,19.257066026732595
Palau,PLW,115.461975,19519.018,17821,79.28038,NA,NA,9.879144551324575,9.7881328161731
Palestine,PSE,68.99349,6269.891,4957773,85.813614,NA,NA,8.743514249105841,15.416467205938567
Panama,PAN,80.42865,33163.727,4234698,65.75298,0.731,North America,10.409211997384594,15.258822573017902
Paraguay,PRY,71.22216,15321.324,6515059,64.98453,0.584,South America,9.637000862536834,15.689626824524636
Peru,PER,46.943504,15463.543,32449302,83.1033,0.802,South America,9.64624046794243,17.29518949086762
Philippines,PHL,68.84184,9452.294,110804685,53.715786,0.45,Asia,9.154012742351204,18.523279614777042
Poland,POL,101.58103,38181.62,38225884,59.96262,0.681,Europe,10.55010952697152,17.459023435738285
Portugal,PRT,86.77099,40188.285,10343218,61.114925,0.885,Europe,10.601330814226214,16.15184159719477
Puerto Rico,PRI,107.57146,41656.33,3288027,93.95199,NA,NA,10.637208616839395,15.005798246803325
Qatar,QAT,90.046295,113160.836,2797927,99.11917,0.04,Asia,11.636565413157744,14.844389343802881
Romania,ROU,84.906364,34634.26,19501542,52.893185,0.748,Europe,10.452598644557892,16.786004097330636
Russia,RUS,49.228752,37319.32,146533063,74.622284,0.263,Europe,10.527266434002138,18.802761646964967
Rwanda,RWA,57.975662,2667.4646,12776102,22.971102,0.228,Africa,7.888883712234992,16.36308695256459
Samoa,WSM,83.331085,7033.521,209794,18.414734,NA,NA,8.858442712904532,12.25388137586999
San Marino,SMR,307.26477,60171.047,34674,97.1,NA,NA,11.00494656876103,10.453745405545833
Saudi Arabia,SAU,56.79382,62647.73,30472809,83.639465,0.015,Asia,11.045282726627079,17.23234533575114
Senegal,SEN,64.23625,4070.6123,16352926,49.944332,0.7,Africa,8.31154870938178,16.60991739954071
Serbia,SRB,107.57731,20496.438,6966155,61.049225,0.363,Europe,9.928006393931598,15.75657398059364
Seychelles,SYC,173.40785,34346.07,117662,44.00493,0.614,Africa,10.444242880624767,11.675571386404187
Sierra Leone,SLE,37.561954,2852.6626,7731994,42.701843,0.544,Africa,7.956008082740915,15.860877343314197
Singapore,SGP,324.395,120114.13,5669562,100,0.405,Asia,11.69619765310433,15.550622424042853
Slovakia,SVK,183.72261,37209.535,5450627,53.366657,0.844,Europe,10.524320324621897,15.511241205893718
Slovenia,SVN,160.04428,44569.586,2083438,55.452328,0.812,Europe,10.704806977138206,14.549529971782489
Solomon Islands,SLB,82.998566,2661.6167,728156,27.275106,0.63,Oceania,7.886688999105983,13.498270589937205
Somalia,SOM,70.29806,1491.2949,16030969,51.642117,0.151,Africa,7.307400081927846,16.59003297191659
South Africa,ZAF,53.897995,14352.67,59587880,63.412727,0.721,Africa,9.571691266598016,17.902962755651306
South Korea,KOR,71.44706,49790.867,51767844,81.29011,0.852,Asia,10.81558685261979,17.7622797422701
Spain,ESP,66.36623,46896.418,47435121,79.63498,0.872,Europe,10.755696576251108,17.67487346166493
Sri Lanka,LKA,49.425526,14637.444,22410552,19.494633,0.558,Asia,9.591338182108732,16.925042477334525
Sudan,SDN,26.119621,3625.5232,45548179,34.472767,0.199,Africa,8.195753887908536,17.634281202824994
Sweden,SWE,92.75114,61601.63,10279120,87.70884,0.902,Europe,11.028443610210484,16.1456252112143
Switzerland,CHE,124.12761,79596.7,8577525,80.77929,0.906,Europe,11.284727913686664,15.964655968312652
Syria,SYR,41.99947,4825.4062,20353536,73.82488,0.137,Asia,8.481650196758096,16.828765213972254
Tajikistan,TJK,56.045017,3649.8838,9529970,26.130074,0.166,Asia,8.202450610453335,16.0699521276716
Tanzania,TZA,33.01859,3484.6326,59174889,33.347527,0.385,Africa,8.156117894394736,17.89600783757042
Thailand,THA,109.689514,21277.84,71522264,55.926617,0.206,Asia,9.965421434544327,18.085519343809494
Togo,TGO,56.342175,2577.516,8463070,41.445732,0.399,Africa,7.854581423437319,15.95122254991663
Tonga,TON,88.04539,6858.839,105688,22.328815,NA,NA,8.833293464414384,11.56824663655819
Tunisia,TUN,102.33261,13243.902,11875084,68.82064,0.721,Africa,9.491292499062594,16.28995298154417
Turkey,TUR,62.57846,28741.053,85357670,88.66181,0.293,Asia,10.266081797792728,18.262360868427773
Turkmenistan,TKM,44.28576,15231.306,6803943,47.049458,0.149,Asia,9.631108194018378,15.733012855037755
Uganda,UGA,39.361053,2689.4102,42999636,27.836979,0.3,Africa,7.897077192050086,17.57670220850573
Ukraine,UKR,90.51124,17636.555,44957451,69.35277,0.525,Europe,9.777729015703692,17.621227067102637
United Arab Emirates,ARE,163.82216,72822.97,9377855,85.02982,0.103,Asia,11.195786706396207,16.053861616793217
United Kingdom,GBR,65.00356,52515.684,67110958,82.669945,0.855,Europe,10.868867146822096,18.021857897103313
United States,USA,26.45376,69112.6,337790069,80.13048,0.812,North America,11.143492337561401,19.63793516285312
United States Virgin Islands,VIR,155.42345,45632.637,89390,95.08575,NA,NA,10.728378463178638,11.400764098081899
Uruguay,URY,49.744835,30010.574,3397206,95.34793,0.898,South America,10.309305065209175,15.038463887046799
Uzbekistan,UZB,64.96392,8755.126,32964700,50.59201,0.202,Asia,9.077394636392519,17.310947849926926
Vanuatu,VUT,99.382965,3512.072,291995,23.502466,0.772,Oceania,8.163961455683815,12.584491957816143
Venezuela,VEN,58.12929,NA,28938096,89.10301,0.208,South America,NA,17.18066948571094
Vietnam,VNM,164.70421,11628.614,97173778,34.623913,0.214,Asia,9.361224063862277,18.392011459372657
Zambia,ZMB,68.79121,3591.5642,18513839,43.489788,0.36,Africa,8.186343096894559,16.73402906444963
Zimbabwe,ZWE,46.106544,4993.8438,15271377,36.183765,0.292,Africa,8.515961192817526,16.54149084994642
